time_yrs,qwS_I1,qwS_M1,qwS_M2,qwS_M3,qwS_P1,qwS_P2,qwS_P3,qgS_I1,qgS_M1,qgS_M2,qgS_M3,qgS_P1,qgS_P2,qgS_P3,BHP_I1,BHP_M1,BHP_M2,BHP_M3,BHP_P1,BHP_P2,BHP_P3
1,0,0,0,0,-0.0112038189426321,-0.0176939573980651,-0.0125031149099484,0.170784842990159,0,0,0,0,0,0,65606864.3284692,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
2,0,0,0,0,-0.0176433837055511,-0.0248790515256506,-0.01642205629672,0.170784842990159,0,0,0,0,0,0,61381427.863875,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
3,0,0,0,0,-0.021285957553124,-0.0287533409910196,-0.0181777560065845,0.170784842990159,0,0,0,0,0,0,62251315.2342143,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
4,0,0,0,0,-0.0234261797775833,-0.0309945566777128,-0.0191494822293466,0.170784842990159,0,0,0,0,0,0,62839226.6184155,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
5,0,0,0,0,-0.0248012927009308,-0.0324312493329269,-0.0197744280911833,0.170784842990159,0,0,0,0,0,0,63228559.0157181,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
6,0,0,0,0,-0.025761602346301,-0.0334428154931802,-0.0202138703626472,0.170784842990159,0,0,0,0,0,0,63487871.7939579,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
7,0,0,0,0,-0.0264761117852989,-0.0342162886729705,-0.0205403211495439,0.170784842990159,0,0,0,0,0,0,63661865.9149218,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
8,0,0,0,0,-0.0270364524239832,-0.0348509170923142,-0.0207916000732926,0.170784842990159,0,0,0,0,0,0,63778411.3838559,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
9,0,0,0,0,-0.0274971548970056,-0.0353985234308168,-0.0209908860275843,0.170784842990159,0,0,0,0,0,0,63855672.1409548,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
10,0,0,0,0,-0.0278921261531608,-0.0358832068311327,-0.0211569834788753,0.170784842990159,0,0,0,0,0,0,63905967.482325,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
11,0,0,0,0,-0.0282427824350376,-0.0363185192347044,-0.0213057258009466,0.170784842990159,0,0,0,0,0,0,63937477.5095231,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
12,0,0,0,0,-0.0285607662971002,-0.0367125466082233,-0.0214443727388826,0.170784842990159,0,0,0,0,0,0,63955570.9663102,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
13,0,0,0,0,-0.0288518645851932,-0.0370725148307836,-0.0215741343855802,0.170784842990159,0,0,0,0,0,0,63963821.1744805,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
14,0,0,0,0,-0.029120249519548,-0.0374079144833232,-0.0216876490145681,0.170784842990159,0,0,0,0,0,0,63965266.8997767,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
15,0,0,0,0,-0.0293704815297753,-0.0377284083914834,-0.0217892529189462,0.170784842990159,0,0,0,0,0,0,63962685.3805033,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
16,0,0,0,0,-0.0296065309736777,-0.0380434709777053,-0.0219193485932536,0.170784842990159,0,0,0,0,0,0,63957483.5435248,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
17,0,0,0,0,-0.0298314405246983,-0.0383579644392687,-0.022092470208957,0.170784842990159,0,0,0,0,0,0,63950095.0895514,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
18,0,0,0,0,-0.0300489888738052,-0.0386742748537635,-0.0221788246961309,0.170784842990159,0,0,0,0,0,-3.32137274850433e-06,63944116.5620635,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
19,0,0,0,0,-0.0302667705031252,-0.0390051978568803,-0.0211292979574546,0.170784842990159,0,0,0,0,0,-0.000628968649685935,63956303.3773869,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
20,0,0,0,0,-0.0304872832897112,-0.0393588395905018,-0.0196023719323933,0.170784842990159,0,0,0,0,0,-0.00286721091940992,63971751.2085626,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
21,0,0,0,0,-0.0307083533897403,-0.0397272476595567,-0.0183205913171351,0.170784842990159,0,0,0,0,0,-0.00574976405933908,63977214.5441215,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
22,0,0,0,0,-0.0309330737570788,-0.0391490420324545,-0.0173564043446583,0.170784842990159,0,0,0,0,-0.000196510295871582,-0.00848145319181128,63980986.0278758,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
23,0,0,0,0,-0.0311586629954262,-0.0367436996365593,-0.0165951429707876,0.170784842990159,0,0,0,0,-0.00261429105368066,-0.0109791072355605,63988902.2076431,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
24,0,0,0,0,-0.0313079659604043,-0.034345593424402,-0.0159520860880338,0.170784842990159,0,0,0,-1.88412140385822e-12,-0.00699515676429249,-0.0133227878122442,63989193.7354771,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
25,0,0,0,0,-0.0298475824168689,-0.0324260631423905,-0.01538045882505,0.170784842990159,0,0,0,-0.000791055128175059,-0.0116789814869236,-0.0155743663816124,63981794.96498,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
26,0,0,0,0,-0.0277993755674609,-0.0308754874608664,-0.0148503408049834,0.170784842990159,0,0,0,-0.00351359757119166,-0.016113716039717,-0.0177754603999828,63957834.9619763,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
27,0,0,0,0,-0.0260608895886748,-0.029598091191169,-0.0143740560541142,0.170784842990159,0,0,0,-0.00685428495899067,-0.0201742769483905,-0.019850184266907,63909460.8121518,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
28,0,0,0,0,-0.0246911150102288,-0.0285239744872428,-0.0139627886412104,0.170784842990159,0,0,0,-0.0100331076957394,-0.0238507048314497,-0.0217232563761284,63834652.6097072,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
29,0,0,0,0,-0.023562404655538,-0.0275990628042851,-0.0136058844015444,0.170784842990159,0,0,0,-0.0129435822283138,-0.0271815089598434,-0.023403488764343,63734743.0050418,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
30,0,0,0,0,-0.0225839347322386,-0.0267748826198063,-0.0132803805101667,0.170784842990159,0,0,0,-0.0156325639617445,-0.0302386386423359,-0.0249625739147223,63611891.7047901,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
31,0,0,0,0,-0.0217203640385766,-0.0260245158381158,-0.0129558358723093,0.170784842990159,0,0,0,-0.0181124293569803,-0.0330665677560316,-0.0265157687723775,63467989.2930069,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
32,0,0,0,0,-0.0209438550926354,-0.0253271810343135,-0.0126023885911233,0.170784842990159,0,0,0,-0.0204060942827055,-0.0357140278213891,-0.0281831550298768,63304243.9109166,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
33,0,0,0,0,-0.020227866279355,-0.024658979235871,-0.0122065082330274,0.170784842990159,0,0,0,-0.022549932340821,-0.038245812559957,-0.030020173960704,63121286.2976836,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
34,0,0,0,0,-0.0195569867482073,-0.0240055721720104,-0.0117790839354946,0.170784842990159,0,0,0,-0.0245644642889367,-0.0407005288327186,-0.0319785665508673,62919696.0409693,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
35,0,0,0,0,-0.0189259556867951,-0.0233573220580242,-0.0113446458681167,0.170784842990159,0,0,0,-0.0264504232467572,-0.0431033892969901,-0.0339465153229015,62700504.7385573,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
36,0,0,0,0,-0.0183310771581451,-0.0227060706308432,-0.0109250306372108,0.170784842990159,0,0,0,-0.0282074113255362,-0.0454699893155044,-0.0358193679781141,62465177.3230333,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
37,0,0,0,0,-0.0177686790957183,-0.0220573597541534,-0.0105322575665892,0.170784842990159,0,0,0,-0.0298378355047121,-0.047773325875015,-0.0375352109663485,62215488.8107934,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
38,0,0,0,0,-0.0172357694054306,-0.0214261451873817,-0.0101698226960927,0.170784842990159,0,0,0,-0.0313450081528356,-0.0499632763251059,-0.039072465169268,61953385.4481358,23881467.0790719,26129699.1705791,29373788.3161739,17700170.44746,13766799.2369133,13766799.2369133
