time_yrs,qwS_I1,qwS_M1,qwS_M2,qwS_M3,qwS_P1,qwS_P2,qwS_P3,qgS_I1,qgS_M1,qgS_M2,qgS_M3,qgS_P1,qgS_P2,qgS_P3,BHP_I1,BHP_M1,BHP_M2,BHP_M3,BHP_P1,BHP_P2,BHP_P3
1,0,0,0,0,-0.0108002695801605,-0.0172600192207899,-0.0068476628669765,0.170784842990159,0,0,0,0,0,0,78845188.2629572,36140404.5267367,35850578.1354465,52596734.9480378,17700170.44746,13766799.2369133,13766799.2369133
2,0,0,0,0,-0.0175258584433732,-0.0248365413113564,-0.00964271396604987,0.170784842990159,0,0,0,0,0,0,70096487.8768333,43885437.7454282,42660669.0891243,62028206.6750882,17700170.44746,13766799.2369133,13766799.2369133
3,0,0,0,0,-0.0216381102753763,-0.0293012489603802,-0.0109747491578567,0.170784842990159,0,0,0,0,0,0,70341131.9004382,48496285.8413399,46625456.3408155,66485580.1403028,17700170.44746,13766799.2369133,13766799.2369133
4,0,0,0,0,-0.0242074613944252,-0.0320361541198522,-0.0116617039729881,0.170784842990159,0,0,0,0,0,0,70579765.8391943,51404070.1577909,49074816.9313892,68939604.4500999,17700170.44746,13766799.2369133,13766799.2369133
5,0,0,0,0,-0.0259368980781617,-0.0338630532668691,-0.0120625404747242,0.170784842990159,0,0,0,0,0,0,70745868.9788045,53384150.5869665,50725267.4421851,70455852.1574174,17700170.44746,13766799.2369133,13766799.2369133
6,0,0,0,0,-0.0271863332964595,-0.0351851843875557,-0.0123241649949505,0.170784842990159,0,0,0,0,0,0,70849039.7609066,54833933.3484759,51931493.1588409,71477990.2396145,17700170.44746,13766799.2369133,13766799.2369133
7,0,0,0,0,-0.0281414608159205,-0.0362155876224956,-0.0125099631020059,0.170784842990159,0,0,0,0,0,0,70906790.5657285,55971129.7991397,52879087.6742927,72215778.7567092,17700170.44746,13766799.2369133,13766799.2369133
8,0,0,0,0,-0.0289099421806712,-0.0370836060713897,-0.0126497291276441,0.170784842990159,0,0,0,0,0,0,70931340.1724037,56926159.9161987,53670632.1480667,72778511.5987934,17700170.44746,13766799.2369133,13766799.2369133
9,0,0,0,0,-0.0295560200278943,-0.0378590895483053,-0.0127586712860778,0.170784842990159,0,0,0,0,0,0,70931247.7275959,57765931.9555077,54360280.6957761,73226066.032674,17700170.44746,13766799.2369133,13766799.2369133
10,0,0,0,0,-0.0301184541585131,-0.0385663543532323,-0.0128453159375694,0.170784842990159,0,0,0,0,0,0,70913522.7484032,58507726.0410592,54972228.0693944,73591731.9385942,17700170.44746,13766799.2369133,13766799.2369133
11,0,0,0,0,-0.0306206437362201,-0.0392113068514937,-0.0129151176177309,0.170784842990159,0,0,0,0,0,0,70883759.5860856,59150687.6172649,55525259.227869,73894738.1052634,17700170.44746,13766799.2369133,13766799.2369133
12,0,0,0,0,-0.0310733488682155,-0.0397984173214944,-0.0129724572784101,0.170784842990159,0,0,0,0,0,0,70845973.4361281,59699112.0619403,56049420.4747425,74147070.2047325,17700170.44746,13766799.2369133,13766799.2369133
13,0,0,0,0,-0.0314833499871914,-0.0403382085256592,-0.0130219218043983,0.170784842990159,0,0,0,0,0,0,70802802.9975281,60165057.7252861,56581386.2849923,74357313.58219,17700170.44746,13766799.2369133,13766799.2369133
14,0,0,0,0,-0.0318594345926278,-0.0408464699073201,-0.0130673695447711,0.170784842990159,0,0,0,0,0,0,70756003.1249411,60562551.0982979,57135355.5554631,74532423.4560327,17700170.44746,13766799.2369133,13766799.2369133
15,0,0,0,0,-0.0322101718167025,-0.0413399343392984,-0.0131103088303003,0.170784842990159,0,0,0,0,0,0,70706921.9708198,60904189.9722074,57690338.2124144,74678398.928435,17700170.44746,13766799.2369133,13766799.2369133
16,0,0,0,0,-0.032542494339551,-0.0418321367454588,-0.0131515447654926,0.170784842990159,0,0,0,0,0,0,70656589.9813438,61200340.4401552,58214864.6831821,74800551.546034,17700170.44746,13766799.2369133,13766799.2369133
17,0,0,0,0,-0.0328614703494717,-0.0423265898366276,-0.0131916579002406,0.170784842990159,0,0,0,0,0,0,70605886.2544966,61459746.0150855,58693742.2844718,74903629.1144971,17700170.44746,13766799.2369133,13766799.2369133
18,0,0,0,0,-0.0331701102731521,-0.0428311680301352,-0.0132299779195749,0.170784842990159,0,0,0,0,0,0,70555642.0993347,61690428.7318386,59129566.4815983,74992086.2103662,17700170.44746,13766799.2369133,13766799.2369133
19,0,0,0,0,-0.0334722010821835,-0.0433570801091875,-0.0132647088305004,0.170784842990159,0,0,0,0,0,0,70506612.6319775,61900776.7364554,59540633.8888696,75070809.5179121,17700170.44746,13766799.2369133,13766799.2369133
20,0,0,0,0,-0.0337710482053629,-0.0439069762083498,-0.0132932941837995,0.170784842990159,0,0,0,0,0,0,70459759.1095868,62101994.8298358,59974175.8410258,75146850.8501969,17700170.44746,13766799.2369133,13766799.2369133
21,0,0,0,0,-0.0340736684849212,-0.0437112610999189,-0.0133261756472178,0.170784842990159,0,0,0,0,-0.000124676345629257,0,70422228.012923,62310299.3999354,60431728.8248716,75228961.6405146,17700170.44746,13766799.2369133,13766799.2369133
22,0,0,0,0,-0.0343812007884514,-0.041259519137508,-0.0133853852457028,0.170784842990159,0,0,0,0,-0.00258791870495897,0,70400534.1570679,62546406.5516285,60824965.2059577,75323566.2232354,17700170.44746,13766799.2369133,13766799.2369133
23,0,0,0,0,-0.0337674706172045,-0.0386074027866214,-0.0134663973582491,0.170784842990159,0,0,0,-0.000228452553890081,-0.00756243813282143,0,70389828.20237,62800100.7706827,61106452.6924643,75431235.4076812,17700170.44746,13766799.2369133,13766799.2369133
24,0,0,0,0,-0.0316058630085644,-0.036402072747461,-0.0135569876712688,0.170784842990159,0,0,0,-0.00252652053622614,-0.013132962424037,0,70380893.0922155,63025700.9133336,61286630.5548436,75545026.9162011,17700170.44746,13766799.2369133,13766799.2369133
25,0,0,0,0,-0.0294915044748831,-0.0345498905824451,-0.0136491623638709,0.170784842990159,0,0,0,-0.00632035474739856,-0.0186191458896822,0,70360617.0121441,63191521.6236762,61390498.0914875,75652196.5128589,17700170.44746,13766799.2369133,13766799.2369133
26,0,0,0,0,-0.0277947027908264,-0.0329719121645871,-0.0137362877569848,0.170784842990159,0,0,0,-0.0102250710251936,-0.0238156248589205,0,70321064.4990975,63290397.985226,61437129.4950687,75738157.3892265,17700170.44746,13766799.2369133,13766799.2369133
27,0,0,0,0,-0.0264223825420412,-0.0316144346783161,-0.0137016776264787,0.170784842990159,0,0,0,-0.0138572095149433,-0.0286355041179332,-6.70996754890064e-06,70261405.7857316,63327216.6198329,61437302.1571943,75790372.1540103,17700170.44746,13766799.2369133,13766799.2369133
28,0,0,0,0,-0.0252673522446177,-0.0304240601261739,-0.0132349664243147,0.170784842990159,0,0,0,-0.0171933500370413,-0.0330849880721829,-0.000255695188602691,70186008.8731016,63309740.9968964,61396544.8194685,75800414.073232,17700170.44746,13766799.2369133,13766799.2369133
29,0,0,0,0,-0.0242575837086106,-0.0293547159130389,-0.0126826871641485,0.170784842990159,0,0,0,-0.0202830699927709,-0.0372112720215655,-0.000909247036619091,70093940.5468573,63245094.11017,61318266.2581249,75764315.8964378,17700170.44746,13766799.2369133,13766799.2369133
