time_yrs,qwS-I1,qwS-I2,qwS-M1,qwS-M2,qwS-M3,qwS-P1,qwS-P2,qwS-P3,qgS-I1,qgS-I2,qgS-M1,qgS-M2,qgS-M3,qgS-P1,qgS-P2,qgS-P3,BHP-I1,BHP-I2,BHP-M1,BHP-M2,BHP-M3,BHP-P1,BHP-P2,BHP-P3
1,0,0,0,0,0,-0.0319836280532365,-0.111886331959679,-0.105171848009256,0.46158065673016,0.507738722403177,0,0,0,0,0,0,115430408.345196,101557818.165666,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
2,0,0,0,0,0,-0.0517857229996021,-0.142755042865462,-0.115361295975977,0.46158065673016,0.507738722403177,0,0,0,0,0,0,94964728.333971,86203866.1077134,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
3,0,0,0,0,0,-0.0698819505493611,-0.169777686548171,-0.129611129814303,0.46158065673016,0.507738722403177,0,0,0,0,0,0,87150439.5360574,79918439.8365471,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
4,0,0,0,0,0,-0.0851768433826426,-0.189814851363163,-0.141350197734246,0.46158065673016,0.507738722403177,0,0,0,0,0,0,83285075.3414609,76908274.3606722,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
5,0,0,0,0,0,-0.097568225867072,-0.204701504871676,-0.15098586903376,0.46158065673016,0.507738722403177,0,0,0,0,0,0,80982997.9008706,75207870.402295,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
6,0,0,0,0,0,-0.107439670660482,-0.21604408818406,-0.159118925049367,0.46158065673016,0.507738722403177,0,0,0,0,0,0,79425342.2408072,74115694.5777674,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
7,0,0,0,0,0,-0.115274064489579,-0.224978686916448,-0.166235075388845,0.46158065673016,0.507738722403177,0,0,0,0,0,0,78271138.9228773,73339106.2069314,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
8,0,0,0,0,0,-0.121513137865899,-0.232268617804953,-0.172778268544672,0.46158065673016,0.507738722403177,0,0,0,0,0,0,77357304.141172,72740023.8022762,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
9,0,0,0,0,0,-0.126523515446163,-0.238361108056221,-0.178929489829428,0.46158065673016,0.507738722403177,0,0,0,0,0,0,76597416.8826922,72247643.1129195,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
10,0,0,0,0,0,-0.130597365601876,-0.243558777934491,-0.184773911718034,0.46158065673016,0.507738722403177,0,0,0,0,0,-1.04208225972507e-22,75941680.6804472,71823439.9153972,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
11,0,0,0,0,0,-0.133961011338076,-0.248116784359995,-0.190476735066639,0.46158065673016,0.507738722403177,0,0,0,0,0,-2.95080738201036e-17,75359623.0526816,71444909.1843914,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
12,0,0,0,0,0,-0.136783912672102,-0.252196187419233,-0.196125685686094,0.46158065673016,0.507738722403177,0,0,0,0,0,-4.72628719519726e-13,74831617.7514758,71098719.5413678,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
13,0,0,0,0,0,-0.139188816296988,-0.255880820590844,-0.201696515848533,0.46158065673016,0.507738722403177,0,0,0,0,0,-7.8784737851397e-10,74344768.2813358,70776406.3080848,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
14,0,0,0,0,0,-0.141263954235345,-0.259261463166259,-0.207181359245996,0.46158065673016,0.507738722403177,0,0,0,0,0,-2.0778877647565e-07,73890540.5231692,70472395.9345933,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
15,0,0,0,0,0,-0.143074523312601,-0.262420083021185,-0.212320062686277,0.46158065673016,0.507738722403177,0,0,0,0,0,-1.26158167493166e-05,73463474.737034,70183041.2532113,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
16,0,0,0,0,0,-0.144671229719131,-0.265376893047861,-0.216208393348638,0.46158065673016,0.507738722403177,0,0,0,0,0,-0.000246664272114488,73061393.1182888,69906119.7943379,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
17,0,0,0,0,0,-0.146095297559831,-0.268137521925979,-0.217092017040731,0.46158065673016,0.507738722403177,0,0,0,0,-4.49995982752189e-59,-0.00199500865624331,72684810.0043537,69640453.1120699,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
18,0,0,0,0,0,-0.147381531963038,-0.270741752987868,-0.212947872171915,0.46158065673016,0.507738722403177,0,0,0,0,-7.05844005380449e-46,-0.00826160470479259,72333796.7705313,69385540.8102333,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
19,0,0,0,0,0,-0.148558119138217,-0.273200726913673,-0.20376449811393,0.46158065673016,0.507738722403177,0,0,0,0,-1.49122603321599e-35,-0.0212583605124155,72005160.1194726,69141063.5958835,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
20,0,0,0,0,0,-0.14964482937134,-0.275437343322514,-0.192056377188175,0.46158065673016,0.507738722403177,0,0,0,0,-1.70017119810142e-27,-0.0396642662659036,71692287.1810644,68906584.8019515,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
