time_yrs,qwS-I1,qwS-I2,qwS-M1,qwS-M2,qwS-M3,qwS-P1,qwS-P2,qwS-P3,qgS-I1,qgS-I2,qgS-M1,qgS-M2,qgS-M3,qgS-P1,qgS-P2,qgS-P3,BHP-I1,BHP-I2,BHP-M1,BHP-M2,BHP-M3,BHP-P1,BHP-P2,BHP-P3
1,0,0,0,0,0,-0.0617280854040703,-0.162772447300293,-0.20343442094179,0.46158065673016,0.507738722403177,0,0,0,0,0,0,70533529.976124,62331248.938751,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
2,0,0,0,0,0,-0.0939238751766333,-0.203233214142551,-0.216683587238353,0.46158065673016,0.507738722403177,0,0,0,0,0,0,63788398.3249846,59116499.0648318,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
3,0,0,0,0,0,-0.115441009379988,-0.229044631624961,-0.233360962738368,0.46158065673016,0.507738722403177,0,0,0,0,0,0,60746710.3592545,57413035.485026,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
4,0,0,0,0,0,-0.129702251797686,-0.245885969639621,-0.246874792773614,0.46158065673016,0.507738722403177,0,0,0,0,0,0,59164206.7652676,56505724.3826123,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
5,0,0,0,0,0,-0.139223297445057,-0.257335504747245,-0.25793436190428,0.46158065673016,0.507738722403177,0,0,0,0,0,0,58191849.6537824,55937861.8861252,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
6,0,0,0,0,0,-0.145690141552589,-0.265398477028486,-0.267315547407519,0.46158065673016,0.507738722403177,0,0,0,0,0,0,57509346.9409003,55524462.8533027,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
7,0,0,0,0,0,-0.1501790428029,-0.271244194774795,-0.275420882987982,0.46158065673016,0.507738722403177,0,0,0,0,0,0,56982601.676105,55189835.156256,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
8,0,0,0,0,0,-0.153368306789828,-0.275590079924862,-0.282581084485344,0.46158065673016,0.507738722403177,0,0,0,0,0,-7.05670388744731e-23,56548004.4147243,54900841.1615906,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
9,0,0,0,0,0,-0.155686518543744,-0.278896952553334,-0.289057269188474,0.46158065673016,0.507738722403177,0,0,0,0,0,-1.64169391151893e-18,56173315.4951768,54641515.5534277,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
10,0,0,0,0,0,-0.157407427551642,-0.281471056256501,-0.295017191294155,0.46158065673016,0.507738722403177,0,0,0,0,0,-4.37467176887333e-15,55840596.5267043,54403523.0698775,24669091.1356343,26468527.6968179,29915793.8297685,19666856.0527333,17700170.44746,17700170.44746
