TS      Day   Newton   INJ1:BHP    INJ1:RATE0    INJ1:RATE1   INJ2:BHP    INJ2:RATE0    INJ2:RATE1   INJ3:BHP    INJ3:RATE0    INJ3:RATE1   INJ4:BHP    INJ4:RATE0    INJ4:RATE1   INJ5:BHP    INJ5:RATE0    INJ5:RATE1   INJ6:BHP    INJ6:RATE0    INJ6:RATE1   INJ7:BHP    INJ7:RATE0    INJ7:RATE1   INJ8:BHP    INJ8:RATE0    INJ8:RATE1   PRD1:BHP    PRD1:RATE0    PRD1:RATE1   PRD2:BHP    PRD2:RATE0    PRD2:RATE1   PRD3:BHP    PRD3:RATE0    PRD3:RATE1   PRD4:BHP    PRD4:RATE0    PRD4:RATE1
0         0        0        410      -435.894            -0        410      -905.443            -0        410      -720.278            -0        410      -293.451            -0        410      -1666.74            -0        410      -626.931            -0        410       -316.78            -0        410      -559.085            -0        395             0       266.661        395             0       1637.06        395             0       157.339        395             0       259.107
1       0.1        1    406.747         -79.5            -0    402.545         -79.5            -0     404.15         -79.5            -0    404.775         -79.5            -0    401.068         -79.5            -0    405.379         -79.5            -0    405.611         -79.5            -0    406.185         -79.5            -0        395             0       129.177        395             0       311.042        395             0       87.1225        395             0       106.127
2       0.6        4    407.394         -79.5            -0    402.964         -79.5            -0    404.582         -79.5            -0    405.728         -79.5            -0    401.297         -79.5            -0    405.884         -79.5            -0    406.459         -79.5            -0    406.734         -79.5            -0        395             0        129.28        395             0       310.882        395             0       87.1506        395             0       106.155
3       3.1        5    411.822         -79.5            -0    405.519         -79.5            -0    407.129         -79.5            -0    411.778         -79.5            -0    402.564         -79.5            -0     409.05         -79.5            -0    412.045         -79.5            -0    410.376         -79.5            -0        395             0       129.699        395             0       310.218        395             0       87.2637        395             0       106.287
4      15.6        8    408.971         -79.5            -0    404.607         -79.5            -0    405.146         -79.5            -0    407.135         -79.5            -0    401.935         -79.5            -0     407.15         -79.5            -0    407.442         -79.5            -0    408.161         -79.5            -0        395             0       131.375        395             0       307.658        395             0       87.8025        395             0       106.632
5        30        7    408.092         -79.5            -0     403.89         -79.5            -0     404.58         -79.5            -0    405.636         -79.5            -0     401.64         -79.5            -0    406.512         -79.5            -0    406.157         -79.5            -0    407.443         -79.5            -0        395             0        132.09        395             0       306.342        395             0       88.2413        395             0       106.794
6        60        9    407.728         -79.5            -0    403.328         -79.5            -0    404.325         -79.5            -0    404.655         -79.5            -0    401.539         -79.5            -0    406.231         -79.5            -0    405.505         -79.5            -0    407.134         -79.5            -0        395             0       133.273        395             0        303.54        395             0       89.0754        395             0       107.579
7        90        8    407.348         -79.5            -0    402.963         -79.5            -0    404.216         -79.5            -0    404.092         -79.5            -0    401.461         -79.5            -0    405.972         -79.5            -0    405.169         -79.5            -0    406.996         -79.5            -0        395             0       133.732        395             0       301.456        395             0       89.7171        395             0       108.563
8       120        8    407.092         -79.5            -0    402.734         -79.5            -0    404.195         -79.5            -0    403.772         -79.5            -0    401.448         -79.5            -0    405.781         -79.5            -0        405         -79.5            -0    406.959         -79.5            -0        395             0       134.283        395             0       298.792        395             0       90.5705        395             0       109.823
9       150        7    407.072         -79.5            -0    402.815         -79.5            -0    404.328         -79.5            -0    403.734         -79.5            -0    401.696         -79.5            -0    405.769         -79.5            -0    405.011         -79.5            -0    407.072         -79.5            -0        395             0        138.19        395       1.42564       286.126        395             0        93.517        395             0       114.214
